Date,Host,Result
01/07/2013 10:30,uk01pvmw501.aceins.com,Success
01/07/2013 10:30,uk01pvmw502.aceins.com,Success
01/07/2013 10:30,uk01pvmw503.aceins.com,Success
01/07/2013 10:31,uk01pvmw505.aceins.com,Success
01/07/2013 10:31,uk01pvmw504.aceins.com,Success
01/07/2013 10:31,uk01pvmw557.aceins.com,Success
01/07/2013 10:31,uk01pvmw553.aceins.com,Success
01/07/2013 10:31,uk01pvmw554.aceins.com,Success
01/07/2013 10:31,uk01pvmw555.aceins.com,Success
01/07/2013 10:31,uk01pvmw556.aceins.com,Success
01/07/2013 10:31,uk01dvmw313.aceins.com,Success
01/07/2013 10:31,uk01dvmw314.aceins.com,Success
01/07/2013 10:31,uk01pvmw602.aceins.com,Success
01/07/2013 10:31,uk01pvmw601.aceins.com,Success
01/07/2013 10:31,uk01pvmw623.aceins.com,Success
01/07/2013 10:31,uk01pvmw624.aceins.com,Success
01/07/2013 10:31,uk01pvmw621.aceins.com,Success
01/07/2013 10:31,uk01pvmw620.aceins.com,Success
01/07/2013 10:32,uk01pvmw619.aceins.com,Success
01/07/2013 10:32,uk01pvmw618.aceins.com,Success
01/07/2013 10:32,uk01pvmw626.aceins.com,Success
01/07/2013 10:32,uk01pvmw625.aceins.com,Success
01/07/2013 10:32,uk01pvmw628.aceins.com,Success
01/07/2013 10:32,uk01pvmw627.aceins.com,Success
01/07/2013 10:32,uk01pvmw629.aceins.com,Success
01/07/2013 10:32,uk01pvmw622.aceins.com,Success
01/07/2013 10:32,uk01pvmw632.aceins.com,Success
01/07/2013 10:32,uk01pvmw633.aceins.com,Success
01/07/2013 10:32,uk01pvmw634.aceins.com,Success
01/07/2013 10:32,uk01pvmw635.aceins.com,Success
01/07/2013 10:32,uk01pvmw636.aceins.com,Success
01/07/2013 10:32,uk01pvmw637.aceins.com,Success
01/07/2013 10:32,uk01pvmw638.aceins.com,Success
01/07/2013 10:32,uk01pvmw630.aceins.com,Success
01/07/2013 10:33,uk01pvmw631.aceins.com,Success
01/07/2013 10:33,uk01dvmw317.aceins.com,Success
01/07/2013 10:33,uk01dvmw315.aceins.com,Success
01/07/2013 10:33,uk01dvmw318.aceins.com,Success
01/07/2013 10:33,uk01dvmw319.aceins.com,Success
01/07/2013 10:33,uk01dvmw320.aceins.com,Success
01/07/2013 10:33,uk01dvmw321.aceins.com,Success
01/07/2013 10:33,uk01dvmw316.aceins.com,Success
01/07/2013 10:33,uk01dvmw322.aceins.com,Success
01/07/2013 10:33,uk01dvmw323.aceins.com,Success
01/07/2013 10:33,uk01dvmw324.aceins.com,Success
01/07/2013 10:33,uk01dvmw325.aceins.com,Success
01/07/2013 10:33,uk01dvmw326.aceins.com,Success
01/07/2013 10:33,uk01dvmw327.aceins.com,Success
01/07/2013 10:33,uk01dvmw328.aceins.com,Success
01/07/2013 10:33,uk01dvmw329.aceins.com,Success
01/07/2013 10:33,uk01dvmw330.aceins.com,Success
01/07/2013 10:34,uk01dvmw331.aceins.com,Failed (Connection)
01/07/2013 10:34,uk01dvmw332.aceins.com,Success
01/07/2013 10:34,uk01dvmw333.aceins.com,Success
01/07/2013 10:34,uk01dvmw334.aceins.com,Success
01/07/2013 10:34,uk01dvmw335.aceins.com,Success
01/07/2013 10:34,uk01pvmw015.aceins.com,Success
01/07/2013 10:35,uk01pvmw016.aceins.com,Success
01/07/2013 10:35,uk01pvmw009.aceins.com,Success
01/07/2013 10:35,uk01pvmw019.aceins.com,Success
01/07/2013 10:35,uk01pvmw220.aceins.com,Success
01/07/2013 10:35,uk01pvmw221.aceins.com,Success
01/07/2013 10:35,uk01pvmw222.aceins.com,Success
01/07/2013 10:35,uk01pvmw223.aceins.com,Success
01/07/2013 10:35,uk01pvmw224.aceins.com,Success
01/07/2013 10:35,uk01pvmw225.aceins.com,Success
01/07/2013 10:35,uk01pvmw226.aceins.com,Success
01/07/2013 10:35,uk01pvmw021.aceins.com,Success
01/07/2013 10:35,uk01pvmw008.aceins.com,Success
01/07/2013 10:35,uk01pvmw010.aceins.com,Success
01/07/2013 10:35,uk01pvmw011.aceins.com,Success
01/07/2013 10:35,uk01pvmw012.aceins.com,Success
01/07/2013 10:35,uk01pvmw013.aceins.com,Success
01/07/2013 10:35,uk01pvmw014.aceins.com,Success
01/07/2013 10:35,uk01pvmw017.aceins.com,Success
01/07/2013 10:36,uk01pvmw018.aceins.com,Success
01/07/2013 10:36,uk01pvmw020.aceins.com,Success
01/07/2013 10:36,uk01pvmw639.aceins.com,Success
01/07/2013 10:36,uk01pvmw640.aceins.com,Success
01/07/2013 10:36,uk01pvmw641.aceins.com,Success
01/07/2013 10:36,uk01pvmw642.aceins.com,Success
01/07/2013 10:36,uk01pvmw643.aceins.com,Success
01/07/2013 10:36,uk01pvmw644.aceins.com,Success
01/07/2013 10:36,uk01pvmw645.aceins.com,Success
01/07/2013 10:36,uk01pvmw215.aceins.com,Success
01/07/2013 10:36,uk01pvmw216.aceins.com,Success
01/07/2013 10:36,uk01pvmw217.aceins.com,Success
01/07/2013 10:37,uk01pvmw218.aceins.com,Success
01/07/2013 10:37,uk01pvmw219.aceins.com,Success
01/07/2013 10:37,uk01pvmw611.aceins.com,Failed (Connection)
01/07/2013 10:37,uk00pvmw003.aceins.com,Success
01/07/2013 10:37,iedubvms01.uk.combined.aiu.com,Success
01/07/2013 10:38,iedubvms02.uk.combined.aiu.com,Success
01/07/2013 10:38,uk21rvmw001.aceins.com,Success
01/07/2013 10:38,uk21rvmw002.aceins.com,Success
01/07/2013 10:38,uk21rvmw004.aceins.com,Success
01/07/2013 10:38,uk21rvmw005.aceins.com,Success
01/07/2013 10:38,uk21rvmw007.aceins.com,Success
01/07/2013 10:38,uk21rvmw003.aceins.com,Success
01/07/2013 10:38,uk21rvmw006.aceins.com,Failed (Connection)
01/07/2013 10:38,ptlbnvms02.uk.combined.aiu.com,Failed (Connection)
01/07/2013 10:38,ptlbnvms03.uk.combined.aiu.com,Failed (Connection)
01/07/2013 10:38,uk99pvmw003.acetst.com,Success
01/07/2013 10:38,uk99pvmw010.acetst.com,Success
01/07/2013 10:38,uk99pvmw011.acetst.com,Success
01/07/2013 10:38,uk99pvmw012.acetst.com,Failed (Connection)
01/07/2013,uk01dvmw402.acepartner.com,Failed (Password Change)
01/07/2013,uk01dvmw403.acepartner.com,Success
01/07/2013,uk01dvmw401.acepartner.com,Success
01/07/2013,uk01pvmw450.acepartner.com,Success
01/07/2013,uk01pvmw451.acepartner.com,Success
01/07/2013,uk01pvmw406.acepartner.com,Success
01/07/2013,uk01pvmw407.acepartner.com,Success
01/07/2013,uk01pvmw405.acepartner.com,Success
01/07/2013,uk01pvmw404.acepartner.com,Success
01/07/2013,uk01pvmw408.acepartner.com,Success
01/07/2013,uk01pvmw409.acepartner.com,Success
01/07/2013,uk01pvmw410.acepartner.com,Success
01/07/2013,uk01pvmw411.acepartner.com,Success
01/07/2013,uk01pvmw412.acepartner.com,Success
01/07/2013,uk01pvmw413.acepartner.com,Success
01/07/2013,uk01pvmw414.acepartner.com,Success
01/07/2013,uk01pvmw401.acepartner.com,Success
01/07/2013,uk01pvmw403.acepartner.com,Success
01/07/2013,uk01pvmw402.acepartner.com,Success
01/07/2013,uk21pvmw405.acepartner.com,Success
01/07/2013,uk21pvmw401.acepartner.com,Success
01/07/2013,uk21pvmw402.acepartner.com,Success
01/07/2013,uk21pvmw403.acepartner.com,Success
01/07/2013,uk21pvmw404.acepartner.com,Success
